Place,InDegree,OutDegree,Advantage
Yaoundé,22,0,-22
Lomé,14,0,-14
Huế,14,0,-14
Cần Thơ,3,0,-3
Bogotá,0,0,0
Burkina Faso,0,8,8
Bamako,0,8,8
Barquisimeto,0,8,8
Bozhou,0,9,9
Bannu,0,9,9
Baotou,0,9,9
Fuzhou,0,9,9
Baku,0,9,9
Bengaluru,0,9,9
Belize,0,10,10
France,0,10,10
Brisbane,0,10,10
Bijie,0,10,10
Brazzaville,0,10,10
Belo Horizonte,0,10,10
Belgrade,0,10,10
Bayan Nur,0,15,15
Bogor,0,15,15
Benin City,0,16,16
Brunei,0,17,17
Baoji,0,17,17
Ürümqi,0,17,17
Fiji,0,17,17
Bekasi,0,17,17
Burundi,0,17,17
Faridabad,0,28,28
Bangladesh,0,28,28
Baghdad,0,28,28
Finland,0,28,28
Basrah,0,28,28
Faisalabad,0,28,28
Fuyang,0,31,31
Baoding,0,31,31
Beijing,0,31,31
Bandung,0,31,31
Bandar Lampung,0,31,31
Budapest,0,33,33
Beirut,0,33,33
Bucharest,0,33,33
Fushun,0,34,34
Busan,0,34,34
Brooklyn,0,34,34
Berlin,0,34,34
Brazil,0,34,34
Bhutan,0,34,34
Foshan,0,34,34
Bao'an,0,34,34
Benin,0,34,34
Bahrain,0,34,34
Bhopal,0,34,34
Botswana,0,39,39
Barcelona,0,39,39
Brasília,0,39,39
Bursa,0,39,39
Fortaleza,0,39,39
Fukuoka,0,39,39
Bulgaria,0,39,39
Bosnia and Herzegovina,0,39,39
Bolivia,0,39,39
Budta,0,39,39
Barranquilla,0,39,39
Biên Hòa,0,39,39
Bangkok,0,40,40
Belgium,0,57,57
Belém,0,57,57
Batam,0,57,57
Birmingham,0,57,57
Buenos Aires,0,67,67
Belarus,0,67,67
Bahamas,0,67,67
Barbados,0,67,67
Fes,0,67,67
