,0
Afghanistan,5.6611311703586695
Albania,5.647432540221683
Algeria,5.647432540221684
Andorra,5.647432540221683
Angola,5.647432540221682
Antigua and Barbuda,5.647432540221683
Argentina,5.647432540221682
Armenia,5.647432540221682
Australia,5.647432540221683
Austria,5.647432540221682
Azerbaijan,5.6611311703586695
Bahamas,1.0
Bahrain,1.0
Bangladesh,1.0
Barbados,1.0
Belarus,1.0
Belgium,1.0
Belize,1.0
Benin,1.0
Bhutan,1.0
Bolivia,1.0
Bosnia and Herzegovina,1.0
Botswana,1.0
Brazil,1.0
Brunei,1.0
Bulgaria,1.0
Burkina Faso,1.0
Burundi,1.0
Cambodia,7.539788809833356
Cameroon,7.539788809833356
Canada,7.539788809833356
Cape Verde,7.539788809833356
Central African Republic,7.206455476500023
Chad,7.5397888098333565
Chile,7.5397888098333565
China,7.539788809833356
Colombia,7.5397888098333565
Comoros,7.539788809833356
Costa Rica,7.5397888098333565
Croatia,7.5397888098333565
Cuba,7.5397888098333565
Cyprus,7.5397888098333565
Czech Republic,7.2064554765000235
Democratic Republic of the Congo,5.2064554765000235
Denmark,5.2064554765000235
Djibouti,5.206455476500023
Dominica,5.2064554765000235
Dominican Republic,5.2064554765000235
Ecuador,5.038084085698954
Egypt,5.038084085698954
El Salvador,5.038084085698954
Equatorial Guinea,5.038084085698954
Eritrea,5.038084085698954
Estonia,5.038084085698954
Eswatini,5.038084085698954
Ethiopia,5.038084085698954
Fiji,1.0
Finland,1.0
France,1.0
Gabon,5.187918515972286
Gambia,5.187918515972287
Georgia,5.187918515972287
Germany,5.187918515972287
Ghana,5.187918515972287
Greece,5.187918515972286
Grenada,5.187918515972287
Guatemala,5.187918515972287
Guinea,5.187918515972286
Guinea-Bissau,5.187918515972287
Guyana,5.187918515972287
Haiti,2.0
Honduras,2.0
Hungary,2.0
Iceland,4.068061926179306
India,4.068061926179306
Indonesia,4.068061926179306
Iran,4.068061926179307
Iraq,4.068061926179306
Ireland,4.068061926179307
Israel,4.068061926179307
Italy,4.068061926179306
Ivory Coast,4.068061926179306
Jamaica,1.0
Japan,1.0
Jordan,1.0
Kazakhstan,6.2064554765000235
Kenya,6.2064554765000235
Kiribati,6.2064554765000235
Kuwait,6.206455476500023
Kyrgyzstan,6.2064554765000235
Laos,4.187918515972286
Latvia,4.187918515972286
Lebanon,4.187918515972286
Lesotho,4.187918515972286
Liberia,4.187918515972286
Libya,4.187918515972286
Liechtenstein,4.187918515972286
Lithuania,4.187918515972286
Luxembourg,4.187918515972287
Madagascar,3.0807811484573793
Malawi,3.080781148457379
Malaysia,3.0807811484573797
Maldives,3.0807811484573793
Mali,3.0807811484573793
Malta,3.0807811484573797
Marshall Islands,3.0807811484573793
Mauritania,3.0807811484573793
Mauritius,3.0807811484573793
Mexico,3.080781148457379
Micronesia,3.0807811484573797
Moldova,3.0807811484573793
Monaco,3.0807811484573793
Mongolia,3.0807811484573793
Montenegro,3.0807811484573793
Morocco,3.0807811484573793
Mozambique,3.0807811484573797
Myanmar,3.080781148457379
Namibia,5.161941660134437
Nauru,5.161941660134437
Nepal,5.161941660134437
Netherlands,5.161941660134437
New Zealand,5.161941660134436
Nicaragua,5.161941660134437
Niger,5.161941660134437
Nigeria,5.161941660134437
North Korea,5.1619416601344374
North Macedonia,5.161941660134438
Norway,5.161941660134437
Oman,5.095161598291464
Pakistan,1.0
Palau,1.0
Palestine,1.0
Panama,1.0
Papua New Guinea,1.0
Paraguay,1.0
Peru,1.0
Philippines,1.0
Poland,1.0
Portugal,1.0
Qatar,5.068061926179308
Republic of the Congo,5.411289009104401
Romania,5.411289009104401
Russia,5.411289009104401
Rwanda,5.411289009104401
Saint Kitts and Nevis,4.6540334379921315
Saint Lucia,4.709588993547689
Saint Vincent and the Grenadines,4.654033437992133
Samoa,4.709588993547686
San Marino,4.709588993547687
Saudi Arabia,4.709588993547688
Senegal,4.709588993547687
Serbia,4.709588993547687
Seychelles,4.6540334379921315
Sierra Leone,4.709588993547687
Singapore,4.709588993547688
Slovakia,4.709588993547688
Slovenia,4.709588993547687
Solomon Islands,4.654033437992132
Somalia,4.709588993547687
South Africa,4.709588993547688
South Korea,4.709588993547687
South Sudan,4.709588993547687
Spain,4.709588993547687
Sri Lanka,4.709588993547687
Sudan,4.709588993547687
Suriname,4.709588993547688
Sweden,4.709588993547687
Switzerland,4.709588993547688
Syria,4.709588993547687
São Tomé and Príncipe,4.709588993547688
Tajikistan,6.104200496126094
Tanzania,6.104200496126094
Thailand,6.104200496126095
Timor-Leste,6.104200496126094
Togo,6.104200496126094
Tonga,6.104200496126094
Trinidad and Tobago,6.104200496126094
Tunisia,6.104200496126094
Turkey,6.104200496126094
Turkmenistan,6.104200496126094
Tuvalu,6.104200496126094
Uganda,4.2423434453721365
Ukraine,4.2423434453721365
United Arab Emirates,4.242343445372137
United Kingdom,4.2423434453721365
United States,4.2423434453721365
Uruguay,4.2423434453721365
Uzbekistan,4.242343445372137
Vanuatu,1.0
Vatican City,1.0
Venezuela,1.0
Vietnam,1.0
Yemen,4.595558255473033
Zambia,1.0
Zimbabwe,1.0
